UserID,FavoriteGenres,WatchedMovies,EvaluationMoviesTheyWillLike,AvgDescriptionReadTimeSeconds,ProfileType
U001,Drama,The Midnight Gospel | Take the 10 | Black Ink Crew New York | Escape the Undertaker | Knight Rider | I'm No Longer Here | How to Fix a Drug Scandal | Léa & I | The Most Unknown | Next in Fashion | Word Party | Spinning Out | Jim Gaffigan: Mr. Universe | Green Eggs and Ham | My Fair Lady | Creep 2 | Bill Nye: Science Guy | Replicas | Diagnosis | Lucas Brothers: On Drugs,He-Man and the Masters of the Universe | Julie and the Phantoms | I Am Not Okay with This | Bottersnikes & Gumbles,29,Mystery/Crime
U002,Drama,Spawn | Taxi Driver | High Risk | Death by Magic | Steve Jobs | Dunkirk | The Trial of the Chicago 7 | Nigerian Prince | Holiday Rush | Mary Magdalene | Godless | Dragonheart: Vengeance | Somewhere Between | How to Train Your Dragon | Coach Carter | Outer Banks | Nocturnal Animals | Forrest Gump | The Half of It | Flaked,Monster Hunter: Legends of the Guild | Alone | Kevin Hart's Guide to Black History | Moving Art,50,Drama/Meaningful
U003,"Comedy, Romance","#blackAF | Family Blood | Unspeakable Acts | The Knight Before Christmas | Cuba and the Cameraman | Charlie's Colorforms City | DreamWorks Spooky Stories | The Guilty | Just Like Heaven | Pet Sematary | My Little Pony: A New Generation | Judah Friedlander: America Is the Greatest Country in the United States | El Camino Christmas | Love Beats Rhymes | The Creature Cases | Swap Shop | T@gged | The Walking Dead | Extremely Wicked, Shockingly Evil and Vile | Sugar Rush Christmas",Jeffrey Epstein: Filthy Rich | Space Force | Sneakerheads | Night Teeth,38,Comedy/Romance
U004,"Action, Sci-Fi",Catching Killers | Ultimate Beastmaster | Murder to Mercy - The Cyntoia Brown Story | Spookley the Square Pumpkin | Mosul | Love Happens | Pandemic: How to Prevent an Outbreak | Big Eyes | The Flash | Tau | Legend of the Guardians: The Owls of Ga'Hoole | Abby Hatcher | Tiger King | Puss in Book: Trapped in an Epic Tale | Fire in Paradise | The Outpost | Edge of Fear | Cobra Kai | The Creative Indians | Love Jacked,Imposters | Ma Rainey's Black Bottom: A Legacy Brought to Screen | High Flying Bird | Sebastian Maniscalco: Why Would You Do That?,44,Action/Sci-Fi
U005,Drama,Unfriended | The Angel | What We Started | My Babysitter's a Vampire | Aziz Ansari: Right Now | Giving Voice | Garth Brooks: The Road I'm On | Rock the Kasbah | Canvas | Chris D'Elia: Incorrigible | Queer Eye: We're in Japan! | Barbie: Princess Adventure | Too Young The Hero | Sun Dogs | Talking Tom and Friends | Brainchild | Daybreak | Santa Pac's Merry Berry Day | Ali Wong: Hard Knock Wife | Clinical,Everything Must Go | Dash & Lily | Happy Gilmore | Ridley Jones,19,Drama/Meaningful
U006,"Sci-Fi, Thriller","14 Peaks: Nothing Is Impossible | The Sweetest Thing | VeggieTales in the City | To Be of Service | Car Masters: Rust to Riches | Rattlesnake | Dana Carvey: Straight White Male, 60 | Wanda Sykes: Not Normal | Hollywood | Jackie: A Tale of Two Sisters | 1BR | The Holiday Calendar | The Good Place | Wormwood | Ozark | Jurassic World: Camp Cretaceous | Chappelle's Show | Good Sam | StoryBots Super Songs | Knight Rider 2000",Red Riding Hood | Marc Maron: End Times Fun | Manhunt | The Big Flower Fight,19,Sci-Fi/Thriller
U007,"Action, Sci-Fi","It Follows | Surviving Compton: Dre, Suge and Michel'le | Shooter | Lavender | Bill Burr: You People Are All The Same | Black Lightning | Coronavirus, Explained | The Frozen Ground | Vampire Academy | Grand Army | Holiday in the Wild | Dad Stop Embarrassing Me! | Menace II Society | How It Ends | Insatiable | Walk of Shame | Gabriel Iglesias: One Show Fits All | Anatomy of a Scandal | Creating The Queen's Gambit | Clive Davis: The Soundtrack of Our Lives",Search Party | Jezebel | Les Misérables | Death to 2020,43,Action/Sci-Fi
U008,"Drama, Romance, Mystery",That Girl Lay Lay | American Son | The Old Guard | Father Soldier Son | Blade Runner: The Final Cut | When They See Us | The Land of Steady Habits | The Perfection | How to Train Your Dragon 2 | Blackhat | Travis Scott: Look Mom I Can Fly | V Wars | The Bucket List | The Red Sea Diving Resort | A California Christmas: City Lights | Without Gorky | 2 Hearts | A Go! Go! Cory Carson Christmas | Circus of Books | Spirit Riding Free: Ride Along Adventure,Tango with Me | Sword of Trust | GAME ON: A Comedy Crossover Event | Go! Go! Cory Carson,50,Drama/Romance
U009,"Drama, Romance, Mystery","Small Crimes | The Girl Next Door | Sorry to Bother You | Ponysitters Club | Sierra Burgess Is a Loser | Tattoo Redo | Joe Rogan: Strange Times | Like Father | Legend | Tiger King: The Doc Antle Story | The Dirt | Black Mirror: Bandersnatch | Extraction | Leah Remini: Scientology and the Aftermath | To the Bone | Bulletproof 2 | Dreamworks Happy Holidays from Madagascar | Wet Hot American Summer: Ten Years Later | In from the Cold | Game Over, Man!",Walk. Ride. Rodeo. | Stretch Armstrong & the Flex Fighters | Maniac | A California Christmas,28,Drama/Romance
U010,Drama,"Once Upon a Time in Mexico | We Have Always Lived in the Castle | DOTA: Dragon's Blood | Home Again | Dolly Parton: A MusiCares Tribute | Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton | Enter the Anime | Sarah Cooper: Everything's Fine | Scare Tactics | Fearless | Dark Skies | Are You The One? | Headspace Unwind you Mind | Whose Streets? | The History of Future Folk | Criminal Minds | Prank Encounters | Death Note | Teen Mom 2 | The Last Blockbuster",Pottersville | How Do You Know | The Forty-Year-Old Version | Captive,24,Mystery/Crime
