UserID,FavoriteGenres,WatchedMovies,EvaluationMoviesTheyWillLike,AvgDescriptionReadTimeSeconds,ProfileType
U01,"Action, Crime, Thriller","The Chase, Sister, Sister, Brian Regan: Nunchucks and Flamethrowers, Murder Mountain, Anon, Bloodline, The Call","IO, El Dragón: Return of a Warrior, Jim Gaffigan: Beyond the Pale",14,Action/Crime
U02,"Action, Sci-Fi","Worn Stories, Comedians in Cars Getting Coffee, Broken, Forgetting Sarah Marshall, Sinbad: Nothin' but the Funk, Sebastian Maniscalco: What's Wrong with People?, The Meyerowitz Stories (New and Selected)","True: Wonderful Wishes, Gad Elmaleh: American Dream, Dragons: Dawn Of The Dragon Racers",55,Action/Sci-Fi
U03,"Comedy, Romance","Dave Chappelle, Firefly Lane, The Last Days, Headspace Unwind you Mind, Sorry to Bother You, That Girl Lay Lay, Holiday in the Wild","Saving Capitalism, How to Become a Tyrant, The Most Assassinated Woman in the World",20,Comedy/Romance
U04,"Drama, Romance, Mystery","VeggieTales in the City, Aziz Ansari: Right Now, Puss in Book: Trapped in an Epic Tale, Pet Sematary, Flaked, Next in Fashion, Synchronic","Nate Bargatze: The Tennessee Kid, Brad Paisley's Comedy Rodeo, The Lost Husband",19,Drama/Romance
U05,"Sci-Fi, Thriller","Jo Koy: Live from Seattle, Trollhunters: Tales of Arcadia, I Am Not Your Negro, Unbelievable, The Imitation Game, Middle of Nowhere, Challenger: The Final Flight","Little Boxes, In Our Mothers' Gardens, Imperial Dreams",38,Sci-Fi/Thriller
U06,"Fantasy, Adventure, Family","Blitz Patrollie, Too Hot to Handle, Mank, You Get Me, Shrek Forever After, Narcoworld: Dope Stories, Waffles + Mochi, A Fairly Odd Summer","David Cross: Making America Great Again, Sextuplets, Historical Roasts",28,Fantasy/Adventure
U07,"Animation, Family","Tales of the City, Margin Call, Barbie & Chelsea: The Lost Birthday, The Princess Switch, Tread, Hannibal Buress: Comedy Camisado, Kung Fu Panda Awesome Secrets","Cooked, The Last Shaman, Framing John DeLorean",24,Animation/Family
U08,"Horror, Thriller","Blood Diamond, Transformers: Cyberverse, Ron White: If You Quit Listening, I'll Shut Up, Shameless, Salt Fat Acid Heat, Nightcrawler, Challenger: The Final Flight","Adventure Beast, Taxi Driver, Roxanne, Roxanne",38,Horror/Thriller
U09,"Mystery, Crime","Jo Koy: Live from Seattle, Skin Decision: Before and After, Bonding, The Do-Over, Girl on the Third Floor, The Water Man, Roma","Beyond Stranger Things, The Beguiled, Burning Cane",40,Mystery/Crime
U10,"Drama, Mystery, Romance","Bending the Arc, Whitney Cummings: Money Shot, Inspector Gadget, Sex, Love & Goop, LEGO Friends: Girls on a Mission, Dream/Killer, Pinkfong & Baby Shark's Space Adventure","A StoryBots Christmas, GAME ON: A Comedy Crossover Event, The Witcher Bestiary Season 1, Part 2",37,Drama/Meaningful
U11,"Action, Crime, Thriller","Bill Burr: Paper Tiger, Naked, Race: Bubba Wallace, To All the Boys I've Loved Before, Vir Das: Abroad Understanding, Cop Out, Banana Split","The 2nd, Abducted in Plain Sight, The Ice Road",35,Action/Crime
U12,"Action, Sci-Fi","War of the Worlds, Liberated: The New Sexual Revolution, Athlete A, An Imperfect Murder, Christmas with the Kranks, The Foreigner, My Heroes Were Cowboys","Dark City Beneath the Beat, Tig, Total Recall",16,Action/Sci-Fi
U13,"Comedy, Romance, Family","Michael Lost and Found, Disenchantment, Bullsh*t the Game Show, Friendsgiving, Really Love, Supergirl, Sarah Silverman: A Speck of Dust","Ram Dass, Going Home, Yes Day, The Queen's Gambit",45,Comedy/Romance
U14,"Drama, Romance, Mystery","Bloodline, Ugly Delicious, Revelations: The Masters of the Universe: Revelation Aftershow, Brian Regan: On the Rocks, Springsteen On Broadway, Immigration Nation, Let It Snow","Escape from Planet Earth, The Incredible Jessica James, Stretch Armstrong & the Flex Fighters",26,Drama/Romance
U15,"Sci-Fi, Thriller, Mystery","Radium Girls, Extinction, Sense8, Intrusion, Maid, LEGO Friends, Catch and Release","Dirty Money, Dunkirk, Master of None",35,Sci-Fi/Thriller
U16,"Fantasy, Adventure","Shrek the Musical, Spectral, Transformers: Robots In Disguise, The Innocence Files, Monty Python: Almost the Truth (The Lawyer's Cut), Fear City: New York vs The Mafia, Inside Bill's Brain: Decoding Bill Gates","Under Suspicion, Terminator 3: Rise of the Machines, LEGO Friends: Girls on a Mission",50,Fantasy/Adventure
U17,"Animation, Family, Adventure","The Trap, He's All That, Strong Island, Biggie: I Got a Story to Tell, Survivor, Life of Crime, Trollhunters: Rise of the Titans","The Netflix Afterparty: The Best Shows of The Worst Year, Sir! No Sir!, Southern Survival",45,Animation/Family
U18,"Horror, Thriller","The Outcasts, Synchronic, The Chase, LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda, Best of Stand-up 2020, Bert Kreischer: The Machine, The Princess Switch: Switched Again, FTA","Hyperdrive, Frank and Cindy, The Kindness of Strangers",14,Horror/Thriller
U19,"Mystery, Crime, Thriller","7 Days Out, Trivia Quest, Colin Quinn: The New York Story, Masters of the Universe: Revelation, The Giver, ReMastered: Tricky Dick & The Man in Black, Sorry to Bother You","The Alpinist, Backdraft 2, Duck Butter",32,Mystery/Crime
U20,"Drama, Mystery, Sci-Fi","Spectral, Eli, Our Brand Is Crisis, Amend: The Fight for America, Untold: Malice at the Palace, The Exorcist, A Little Help with Carol Burnett","Unbreakable Kimmy Schmidt, A Nightmare on Elm Street, Orange Is the New Black",31,Drama/Meaningful
U21,"Action, Crime, Adventure","White Hot: The Rise & Fall of Abercrombie & Fitch, In the Line of Fire, Redemption, The Laundromat, Iliza Shlesinger: Elder Millennial, Joan Didion: The Center Will Not Hold, The Cave","Family Reunion, The Babysitter, Mercy",32,Action/Crime
U22,"Action, Sci-Fi","Unsolved: The Murders of Tupac and The Notorious B.I.G., My Heroes Were Cowboys, Margin Call, Transformers: Rescue Bots, Mama Drama, My Suicide, Senzo: Murder of a Soccer Star","High on the Hog: How African American Cuisine Transformed America, Spelling the Dream, The One",45,Action/Sci-Fi
U23,"Comedy, Romance, Drama","Mission Blue, Aziz Ansari: Buried Alive, The Netflix Afterparty: The Best Shows of The Worst Year, The Phantom, Last Chance U, Lego Jurassic World: The Secret Exhibit, Neymar: The Perfect Chaos, Bethany Hamilton: Unstoppable","The Wedding Coach, The Titan, Free Birds",34,Comedy/Romance
U24,"Drama, Romance, Comedy","The Package, Monster, Phantom Thread, Frat Star, The Eddy, Rust Creek, Trial 4","Canvas, Alone, The Crystal Calls - Making The Dark Crystal: Age of Resistance",55,Drama/Romance
U25,"Sci-Fi, Thriller, Action","History of Swear Words, Hope Frozen, A Haunted House 2, The Debt Collector, Dirty Money, Stuart Little 2, The Circle, I Know What You Did Last Summer","Extinct, African Knock Out Show, Party Monster: Scratching the Surface",35,Sci-Fi/Thriller
U26,"Fantasy, Adventure, Action","The Wonderful: Stories from the Space Station, Shirkers, VeggieTales in the City, Eddie Murphy Raw, The Boy Who Cried Werewolf, The Spiderwick Chronicles, My Next Guest Needs No Introduction With David Letterman","John Was Trying to Contact Aliens, Worth, Jo Koy: In His Elements",35,Fantasy/Adventure
U27,"Animation, Family, Adventure","And Then Came Lola, Community, Loo Loo Kids Johny & Friends Musical Adventure, The Boy Who Cried Werewolf, Stowaway, Siberia, Christmas in the Heartland","Adventure Beast, Felipe Esparza: Bad Decisions, Bill Hicks: Reflections",16,Animation/Family
U28,"Horror, Thriller, Crime","True Tunes, Seven Seconds, Monster, E-Team, London Hughes: To Catch A D*ck, If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd, Velvet Colección: Grand Finale","Léa & I, Wish Upon a Unicorn, The Ottoman Lieutenant",30,Horror/Thriller
U29,"Mystery, Crime","Dream Home Makeover, Asperger's Are Us, EastSiders, 6 Bullets, Home Game, The Wind, If Anything Happens I Love You","Shimmer Lake, Tom Segura: Disgraceful, Tyler Perry's A Madea Homecoming",32,Mystery/Crime
U30,"Drama, Mystery, Romance","Knock Down the House, The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie, A Cinderella Story, Katt Williams: Kattpacalypse, The Contractor, Screwball, In the Dark","Nailed It! Spain, Newness, One of Us",32,Drama/Meaningful
U31,"Action, Crime, Thriller","From Dusk Till Dawn: The Series, Reversing Roe, Joe Rogan: Triggered, Asperger's Are Us, Waffles + Mochi, Bobbleheads: The Movie, Narcos","Trash Truck, To and from New York, Terrorism Close Calls",14,Action/Crime
U32,"Action, Sci-Fi, Adventure","Broken, Keith Richards: Under the Influence, Christmas in the Heartland, The Stand at Paxton County, Animal Crackers, Frank & Cindy, The Business of Drugs","Death Note, Bobby Kennedy for President, I Think You Should Leave with Tim Robinson",16,Action/Sci-Fi
U33,"Comedy, Romance","Hype House, Lavell Crawford: Can a Brother Get Some Love?, Blade: Trinity, Action Pack, Donnie Brasco, Escape from Planet Earth, Mowgli: Legend of the Jungle","First and Last, Selling Tampa, Ink Master",22,Comedy/Romance
U34,"Drama, Romance, Comedy","Care Bears and Cousins, A Cinderella Story: Christmas Wish, David A. Arnold Fat Ballerina, American Factory: A Conversation with the Obamas, Abducted in Plain Sight, Invader ZIM: Enter the Florpus, I Am Sam","Sense8, Winter on Fire: Ukraine's Fight for Freedom, Adrift",40,Drama/Romance
U35,"Sci-Fi, Thriller","Marco Polo: One Hundred Eyes, Historical Roasts, The Guns of Navarone, Miles Davis: Birth of the Cool, Hasan Minhaj: Homecoming King, Calum von Moger: Unbroken, Take Your Pills","The Mind, Explained, American Ultra, Annabelle: Creation",38,Sci-Fi/Thriller
U36,"Fantasy, Adventure, Action","Work It, Sex: Unzipped, Our Great National Parks, Collateral Beauty, Puerto Ricans in Paris, Norm Macdonald: Hitler's Dog, Gossip & Trickery, Destination Wedding","Johnny Test, Schulz Saves America, Fast & Furious Spy Racers, We Speak Dance",22,Fantasy/Adventure
U37,"Animation, Family","The Texas Chainsaw Massacre: The Beginning, The Devil Below, The Men Who Stare at Goats, The Mars Generation, Monster House, The One, Marjoun and the Flying Headscarf","The Lost Pirate Kingdom, Angela's Christmas Wish, Heaven Official's Blessing",38,Animation/Family
U38,"Horror, Thriller","Halston, Extinct, Frank & Lola, Strawberry Shortcake, Aftermath, Argo, White Rabbit Project","Death at a Funeral, Santa Clarita Diet, Bert Kreischer: Hey Big Boy",14,Horror/Thriller
